Items;AoA;SubjectiveFrequency;Imageability;NumberOfLetters;NumberOfPhonemes;NumberOfSyllables;NumberOfNeighbors;ObjectiveFrequency;MeanBigramFrequency;TypeOfAcronyms;VoicedFeature;RT_ms
AA;4.5;2.16;2.00;2;2;2;2;140000000;5700;Typ ambi;voiced;801
AB;2.94;2.95;2.74;2;3;2;3;196000000;5267;Typ ambi;voiced;714
ABS;4.32;3.6;2.91;3;5;3;1;44100000;15445;Typ ambi;voiced;686
ADAPEI;4.93;2.65;1.7;6;6;4;0;39500;4186;Atyp Ambig;voiced;1212
ADN;3.5;4.9;4.62;3;5;3;1;2130000;4699;Typ ambi;voiced;643
AFPA;4.71;2.79;1.95;4;4;2;0;169000;4697;Atyp Ambig;voiced;931
AFSSAPS;4.93;2.25;1.5;7;6;2;0;159000;9936;Atyp Ambig;voiced;1305
ANPE;4.24;4.6;4.09;4;6;4;2;202000;13089;Typ ambi;voiced;726
AOC;4.42;4.45;2.43;3;4;3;0;3410000;3732;Typ ambi;voiced;791
APL;4.77;4.9;3.77;3;5;3;0;2010000;4949;Typ ambi;voiced;667
AREVA;4.76;4.15;2.79;5;5;3;2;721000;8369;Atyp Ambig;voiced;823
ASSEDIC;4.5;4.3;3.36;7;6;3;0;191000;6108;Atyp Ambig;voiced;764
AVC;4.18;4.89;3.86;3;5;3;0;3070000;3604;Typ ambi;voiced;730
AVS;4.71;3.68;2.2;3;5;3;1;3890000;14934;Typ ambi;voiced;739
AXA;3.91;3.4;3.57;3;4;2;1;1270000;4414;Atyp Ambig;voiced;790
BA;4.47;3.58;2.33;2;3;2;3;154000000;5234;Typ ambi;voiced;774
BAFA;4.32;4.85;3.91;4;4;2;0;358000;3776;Atyp Ambig;voiced;718
BCBG;3.73;4.65;4.29;4;8;4;0;1650000;1477;Typ non ambig;voiced;920
BCE;4.88;3.65;2.42;3;5;3;2;6570000;10779;Typ ambi;voiced;737
BCG;4.42;3.42;1.94;3;6;3;0;1530000;1846;Typ non ambig;voiced;858
BD;2.09;4.89;4.95;2;4;2;2;103000000;2626;Typ non ambig;voiced;701
BEP;4.09;4.47;3.14;3;5;3;1;1640000;2428;Typ ambi;voiced;749
BEPC;4.53;3.37;2.65;4;7;4;1;82800;1970;Typ ambi;voiced;921
BIT;4.44;2.85;2.11;3;5;3;1;166000000;11952;Typ ambi;voiced;909
BN;2.95;4.00;4.62;2;4;2;2;28100000;3824;Typ non ambig;voiced;703
BNF;4.8;2.68;2.3;3;6;3;0;1140000;2288;Typ non ambig;voiced;790
BNP;4.00;4.7;3.95;3;6;3;0;2530000;1822;Typ non ambig;voiced;725
BO;3.74;4.37;3.52;2;3;2;3;56800000;3753;Typ ambi;voiced;761
BP;4.18;3.95;3.3;2;4;2;1;75300000;2423;Typ non ambig;voiced;752
BSR;4.23;3.6;3.52;3;6;3;0;1210000;4024;Typ non ambig;voiced;772
BTP;4.5;4.05;3.33;3;6;3;0;1110000;1840;Typ non ambig;voiced;747
BTS;4.5;4.95;3.95;3;6;3;0;6860000;13960;Typ non ambig;voiced;668
BU;4.95;4.9;4.55;2;3;2;2;47200000;3013;Typ ambi;voiced;756
CA;4.26;3.79;2.5;2;3;2;3;330000000;8854;Typ ambi;unvoiced;882
CAF;4.5;4.75;4.09;3;3;1;2;9060000;5824;Atyp Ambig;unvoiced;820
CAP;4.32;4.8;3.48;3;5;3;2;74100000;6299;Typ ambi;unvoiced;873
CAPES;4.81;4.6;3.05;5;5;2;3;2120000;16624;Atyp Ambig;unvoiced;898
CAT;4.81;2.42;2.3;3;5;3;2;132000000;13989;Typ ambi;unvoiced;1040
CCC;4.63;1.85;1.65;3;6;3;0;12400000;5759;Typ non ambig;unvoiced;865
CCFD;4.8;2.25;1.89;4;8;4;0;210000;3542;Typ non ambig;unvoiced;1027
CCI;4.83;2.53;2.67;3;5;3;1;3460000;6072;Typ ambi;unvoiced;833
CCO;4.93;2.84;1.75;3;5;3;1;1140000;7163;Typ ambi;unvoiced;845
CD;2.18;4.85;4.38;2;4;2;2;260000000;5468;Typ non ambig;unvoiced;735
CDD;4.00;4.84;4.00;3;6;3;0;3800000;4117;Typ non ambig;unvoiced;754
CDI;3.82;4.89;4.14;3;5;3;1;2520000;6148;Typ ambi;unvoiced;740
CE;4.00;4.4;2.58;2;3;2;3;245000000;17223;Typ ambi;unvoiced;771
CEDEX;3.5;4.65;3.59;5;6;2;2;6890000;4843;Atyp Ambig;unvoiced;816
CEE;4.56;4.00;2.11;3;4;3;1;240000000;12942;Typ ambi;unvoiced;887
CEG;4.93;1.16;1.63;3;5;3;1;821000;5129;Typ ambi;unvoiced;913
CEI;4.93;2.35;2.2;3;4;3;2;843000;6190;Typ ambi;unvoiced;944
CFA;4.45;4.2;4.00;3;5;3;3;9640000;5670;Typ ambi;unvoiced;836
CFDT;4.67;4.6;2.42;4;8;4;0;210000;8340;Typ non ambig;unvoiced;922
CG;4.69;2.6;2.26;2;4;2;2;26200000;5312;Typ non ambig;unvoiced;833
CGC;4.78;2.9;2.5;3;6;3;0;1420000;3992;Typ non ambig;unvoiced;1010
CGT;4.14;4.75;3.48;3;6;3;0;1370000;10439;Typ non ambig;unvoiced;822
CHU;3.55;4.7;4.73;3;5;3;0;17400000;6584;Typ ambi;unvoiced;789
CIA;3.64;4.16;3.57;3;4;3;3;21400000;6850;Typ ambi;unvoiced;814
CIC;3.86;4.11;4.16;3;5;3;1;2950000;5968;Typ ambi;unvoiced;848
CIE;4.41;2.47;2.62;3;4;3;2;1970000;16257;Typ ambi;unvoiced;905
CIO;4.55;4.25;3.81;3;4;3;2;9090000;6670;Typ ambi;unvoiced;799
CMPP;4.72;4.16;1.85;4;8;4;0;74600;4256;Typ non ambig;unvoiced;973
CNED;4.82;4.53;3.00;4;4;1;0;182000;5024;Atyp Ambig;unvoiced;1117
CNIL;4.84;3.21;2.15;4;4;1;2;3650000;5899;Atyp Ambig;unvoiced;1084
CNN;4.52;3.68;3.32;3;6;3;0;24000000;6358;Typ non ambig;unvoiced;820
CNR;4.94;2.55;2.42;3;6;3;0;3140000;6111;Typ non ambig;unvoiced;876
CNRS;4.58;4.5;3.09;4;8;4;0;7400000;13002;Typ non ambig;unvoiced;952
COD;3.47;4.05;3.68;3;5;3;1;30600000;7103;Typ ambi;unvoiced;870
CODEVI;4.76;2.68;1.52;6;6;3;0;13300;5774;Atyp Ambig;unvoiced;1125
COI;3.89;2.84;3.59;3;4;3;2;2150000;8317;Typ ambi;unvoiced;903
CP;1.86;4.84;3.86;2;4;2;1;54000000;5279;Typ non ambig;unvoiced;749
CPAM;4.95;3.79;2.89;4;7;4;0;208000;4953;Typ ambi;unvoiced;1085
CQFD;4.58;4.21;3.1;4;8;4;0;196000;3303;Typ non ambig;unvoiced;967
CRF;4.93;1.95;1.68;3;6;3;0;1800000;4929;Typ non ambig;unvoiced;903
CROUS;4.86;4.85;4.32;5;4;1;2;193000;15443;Atyp Ambig;unvoiced;731
CRS;3.95;4.45;3.48;3;6;3;0;3070000;16979;Typ non ambig;unvoiced;931
CSA;4.53;4.3;3.15;3;5;3;3;5400000;6952;Typ ambi;unvoiced;824
CSG;4.75;3.25;1.9;3;6;3;0;1070000;4035;Typ non ambig;unvoiced;966
CSP;4.65;2.7;1.67;3;6;3;0;4070000;4426;Typ non ambig;unvoiced;944
CV;3.86;4.95;4.62;2;4;2;2;5380000;5241;Typ non ambig;unvoiced;740
DDE;4.43;3.32;2.4;3;5;3;2;5020000;12156;Typ ambi;voiced;752
DDP;3.23;3.16;3.32;3;6;3;0;1280000;3035;Typ non ambig;voiced;742
DEA;4.81;2.47;2.39;3;4;3;3;11000000;5796;Typ ambi;voiced;779
DESS;4.83;2.58;1.4;4;7;4;3;480000;19368;Typ ambi;voiced;887
DEUG;4.86;4.26;3.14;4;3;1;0;195000;5070;Atyp Ambig;voiced;852
DOM;3.95;4.47;3.82;3;3;1;2;41400000;4803;Atyp Ambig;voiced;780
DRH;4.55;4.79;4.00;3;6;3;0;767000;3514;Typ non ambig;voiced;719
DSK;4.91;4.85;4.6;3;6;3;0;1540000;3176;Typ non ambig;voiced;721
DUT;4.77;4.05;3.86;3;5;3;3;1250000;10703;Typ ambi;voiced;734
